data_copa,time_a,time_b,placar,gols_do_time_da_casa,gols_do_time_da_fora,saldo_gols_do_time_da_casa,saldo_gols_do_time_da_fora,teve_prorrogacao,foi_para_penaltis,placar_penaltis,gols_do_time_da_casa_penaltis,gols_do_time_da_fora_penaltis,time_da_casa_vencedor,time_da_fora_vencedor,empatou,sede,vencedor_copa,sede_vencedor,qtd_times_parcticipantes
1938,Italy,Hungary,4Ð2,4,2,2,-2,0,0,0-0,0,0,1,0,0,France,Italy,0,15
1950,Brazil,Mexico,4Ð0,4,0,4,-4,0,0,0-0,0,0,1,0,0,Brazil,Uruguay,0,13
1950,Yugoslavia,Switzerland,3Ð0,3,0,3,-3,0,0,0-0,0,0,1,0,0,Brazil,Uruguay,0,13
1950,England,Chile,2Ð0,2,0,2,-2,0,0,0-0,0,0,1,0,0,Brazil,Uruguay,0,13
1950,Spain,United States,3Ð1,3,1,2,-2,0,0,0-0,0,0,1,0,0,Brazil,Uruguay,0,13
1950,Sweden,Italy,3Ð2,3,2,1,-1,0,0,0-0,0,0,1,0,0,Brazil,Uruguay,0,13
1950,Brazil,Switzerland,2Ð2,2,2,0,0,0,0,0-0,0,0,0,0,1,Brazil,Uruguay,0,13
1950,Yugoslavia,Mexico,4Ð1,4,1,3,-3,0,0,0-0,0,0,1,0,0,Brazil,Uruguay,0,13
1950,Spain,Chile,2Ð0,2,0,2,-2,0,0,0-0,0,0,1,0,0,Brazil,Uruguay,0,13
1950,United States,England,1Ð0,1,0,1,-1,0,0,0-0,0,0,1,0,0,Brazil,Uruguay,0,13
1950,Sweden,Paraguay,2Ð2,2,2,0,0,0,0,0-0,0,0,0,0,1,Brazil,Uruguay,0,13
1950,Brazil,Yugoslavia,2Ð0,2,0,2,-2,0,0,0-0,0,0,1,0,0,Brazil,Uruguay,0,13
1950,Chile,United States,5Ð2,5,2,3,-3,0,0,0-0,0,0,1,0,0,Brazil,Uruguay,0,13
1950,Spain,England,1Ð0,1,0,1,-1,0,0,0-0,0,0,1,0,0,Brazil,Uruguay,0,13
1950,Italy,Paraguay,2Ð0,2,0,2,-2,0,0,0-0,0,0,1,0,0,Brazil,Uruguay,0,13
1950,Uruguay,Bolivia,8Ð0,8,0,8,-8,0,0,0-0,0,0,1,0,0,Brazil,Uruguay,0,13
1950,Switzerland,Mexico,2Ð1,2,1,1,-1,0,0,0-0,0,0,1,0,0,Brazil,Uruguay,0,13
1950,Brazil,Sweden,7Ð1,7,1,6,-6,0,0,0-0,0,0,1,0,0,Brazil,Uruguay,0,13
1950,Uruguay,Spain,2Ð2,2,2,0,0,0,0,0-0,0,0,0,0,1,Brazil,Uruguay,0,13
1950,Brazil,Spain,6Ð1,6,1,5,-5,0,0,0-0,0,0,1,0,0,Brazil,Uruguay,0,13
